epoch,iteration,lr,l_pix,l_kd_t1,l_kd_t2,l_kd
4,16100,0.0001,0.10118,0.014607,0.014863,0.014735
4,16200,0.0001,0.1237,0.017476,0.017818,0.017647
4,16300,0.0001,0.085968,0.011419,0.011684,0.011552
4,16400,0.0001,0.083336,0.010913,0.011178,0.011045
4,16500,0.0001,0.078764,0.010385,0.010432,0.010409
4,16600,0.0001,0.097713,0.013102,0.013228,0.013165
4,16700,0.0001,0.089261,0.012709,0.012959,0.012834
4,16800,0.0001,0.076118,0.011897,0.011962,0.01193
4,16900,0.0001,0.10219,0.013661,0.01393,0.013795
4,17000,0.0001,0.10114,0.01304,0.013138,0.013089
4,17100,0.0001,0.10296,0.012322,0.012678,0.0125
4,17200,0.0001,0.093569,0.01243,0.012608,0.012519
4,17300,0.0001,0.079466,0.0097485,0.0099835,0.009866
4,17400,0.0001,0.092204,0.011278,0.011545,0.011411
4,17500,0.0001,0.089098,0.013369,0.01337,0.01337
4,17600,0.0001,0.072499,0.0099765,0.010291,0.010134
4,17700,0.0001,0.07515,0.0089018,0.0091322,0.009017
4,17800,0.0001,0.081068,0.010914,0.011038,0.010976
4,17900,0.0001,0.096491,0.012525,0.012775,0.01265
4,18000,0.0001,0.10953,0.016096,0.01647,0.016283
4,18100,0.0001,0.087922,0.011781,0.011816,0.011798
4,18200,0.0001,0.068669,0.0092343,0.0093822,0.0093082
4,18300,0.0001,0.085922,0.012513,0.012618,0.012566
4,18400,0.0001,0.081488,0.010636,0.010898,0.010767
4,18500,0.0001,0.095791,0.012322,0.012579,0.01245
4,18600,0.0001,0.10331,0.013566,0.013616,0.013591
4,18700,0.0001,0.0888,0.0099282,0.010022,0.0099751
4,18800,0.0001,0.096508,0.01101,0.01151,0.01126
4,18900,0.0001,0.098109,0.011065,0.01133,0.011197
4,19000,0.0001,0.10099,0.013048,0.013145,0.013097
4,19100,0.0001,0.094986,0.012612,0.012919,0.012766
4,19200,0.0001,0.10221,0.01283,0.013164,0.012997
4,19300,0.0001,0.061459,0.0083079,0.0083288,0.0083183
5,19400,0.0001,0.097916,0.012714,0.012904,0.012809
5,19500,0.0001,0.071488,0.0096286,0.0097973,0.0097129
5,19600,0.0001,0.10317,0.012804,0.013198,0.013001
5,19700,0.0001,0.082226,0.011118,0.011298,0.011208
5,19800,0.0001,0.11112,0.014695,0.015111,0.014903
5,19900,0.0001,0.070685,0.0089715,0.0091335,0.0090525
5,20000,0.0001,0.083184,0.01233,0.012624,0.012477
5,20100,1e-05,0.071547,0.0080862,0.0081896,0.0081379
5,20200,1e-05,0.062231,0.0069556,0.0070869,0.0070212
5,20300,1e-05,0.070486,0.0073277,0.007499,0.0074133
5,20400,1e-05,0.066061,0.0077555,0.00791,0.0078328
5,20500,1e-05,0.11044,0.012026,0.012458,0.012242
5,20600,1e-05,0.11389,0.010995,0.011304,0.01115
5,20700,1e-05,0.085218,0.0090917,0.0093033,0.0091975
5,20800,1e-05,0.051342,0.0053036,0.0053693,0.0053364
5,20900,1e-05,0.062863,0.0065008,0.0065729,0.0065368
5,21000,1e-05,0.087632,0.0099607,0.010807,0.010384
5,21100,1e-05,0.083242,0.0088614,0.0092118,0.0090366
5,21200,1e-05,0.085778,0.0095495,0.0099152,0.0097324
5,21300,1e-05,0.057572,0.0071842,0.0074287,0.0073064
5,21400,1e-05,0.079071,0.0082405,0.0084471,0.0083438
5,21500,1e-05,0.057396,0.0057939,0.0059822,0.0058881
5,21600,1e-05,0.065135,0.0072693,0.0074256,0.0073474
5,21700,1e-05,0.081604,0.011084,0.011362,0.011223
5,21800,1e-05,0.098799,0.011802,0.012518,0.01216
5,21900,1e-05,0.067039,0.0076152,0.0079019,0.0077586
5,22000,1e-05,0.072074,0.0072784,0.0072232,0.0072508
5,22100,1e-05,0.090448,0.0092067,0.0094528,0.0093298
5,22200,1e-05,0.078429,0.0082302,0.0083651,0.0082977
5,22300,1e-05,0.087053,0.010249,0.010393,0.010321
5,22400,1e-05,0.092644,0.010221,0.010239,0.01023
5,22500,1e-05,0.090426,0.0092543,0.0094854,0.0093698
5,22600,1e-05,0.054189,0.0063587,0.0063824,0.0063705
6,22700,1e-05,0.059142,0.0064199,0.0065992,0.0065095
6,22800,1e-05,0.10985,0.012883,0.013319,0.013101
6,22900,1e-05,0.07279,0.0075946,0.0077868,0.0076907
3,10100,1e-05,0.07667,0.0094262,0.0095323,0.0094792
3,10200,1e-05,0.067169,0.0078837,0.0080612,0.0079724
3,10300,1e-05,0.062464,0.0076814,0.0078547,0.007768
3,10400,1e-05,0.092773,0.010289,0.010383,0.010336
3,10500,1e-05,0.091781,0.011537,0.011863,0.0117
3,10600,1e-05,0.081197,0.0091667,0.0092797,0.0092232
3,10700,1e-05,0.079779,0.0076338,0.0081564,0.0078951
3,10800,1e-05,0.096861,0.010565,0.010728,0.010646
3,10900,1e-05,0.093078,0.01029,0.0112,0.010745
3,11000,1e-05,0.069309,0.0075374,0.0076559,0.0075967
3,11100,1e-05,0.059842,0.0070227,0.0072021,0.0071124
3,11200,1e-05,0.091686,0.008904,0.009067,0.0089855
3,11300,1e-05,0.073937,0.0082293,0.0083582,0.0082938
3,11400,1e-05,0.096225,0.012088,0.012281,0.012185
3,11500,1e-05,0.077988,0.009281,0.0094061,0.0093436
3,11600,1e-05,0.088292,0.010668,0.010834,0.010751
3,11700,1e-05,0.066603,0.0078306,0.007912,0.0078713
3,11800,1e-05,0.063177,0.0075428,0.0077167,0.0076298
3,11900,1e-05,0.10657,0.013553,0.013865,0.013709
3,12000,1e-05,0.081716,0.010814,0.011235,0.011025
3,12100,1e-05,0.066573,0.0068506,0.0069707,0.0069107
3,12200,1e-05,0.055026,0.0070781,0.0072247,0.0071514
3,12300,1e-05,0.10036,0.011966,0.012289,0.012127
3,12400,1e-05,0.081496,0.0081934,0.0083027,0.008248
3,12500,1e-05,0.075993,0.0088677,0.0090392,0.0089534
3,12600,1e-05,0.07837,0.008841,0.0090273,0.0089341
3,12700,1e-05,0.081864,0.0088049,0.0090267,0.0089158
3,12800,1e-05,0.12374,0.015521,0.015801,0.015661
3,12900,1e-05,0.077492,0.0099873,0.010144,0.010066
3,13000,1e-05,0.061577,0.0068554,0.0070116,0.0069335
3,13100,1e-05,0.090094,0.0090177,0.0092945,0.0091561
3,13200,1e-05,0.076112,0.0072488,0.0073552,0.007302
3,13300,1e-05,0.094422,0.011984,0.01225,0.012117
4,13400,1e-05,0.073899,0.0089982,0.0090739,0.0090361
4,13500,1e-05,0.082283,0.009219,0.0094274,0.0093232
4,13600,1e-05,0.070823,0.0083241,0.0085706,0.0084473
4,13700,1e-05,0.072205,0.0081715,0.0081617,0.0081666
4,13800,1e-05,0.08918,0.01142,0.011599,0.01151
4,13900,1e-05,0.084131,0.0090154,0.0092656,0.0091405
4,14000,1e-05,0.064533,0.0084098,0.0087102,0.00856
4,14100,1e-05,0.090612,0.009674,0.0098486,0.0097613
4,14200,1e-05,0.058861,0.0065101,0.0065388,0.0065244
4,14300,1e-05,0.12958,0.015854,0.016166,0.01601
4,14400,1e-05,0.080603,0.0081197,0.0081536,0.0081367
4,14500,1e-05,0.068137,0.0071518,0.0072364,0.0071941
4,14600,1e-05,0.082844,0.0098013,0.010007,0.0099044
4,14700,1e-05,0.084113,0.0081814,0.0083535,0.0082675
4,14800,1e-05,0.061245,0.0068368,0.0068747,0.0068557
4,14900,1e-05,0.08713,0.010459,0.010471,0.010465
4,15000,1e-05,0.075818,0.0089017,0.0090812,0.0089915
4,15100,1e-05,0.099763,0.010753,0.010993,0.010873
4,15200,1e-05,0.084326,0.010773,0.011027,0.0109
4,15300,1e-05,0.078669,0.0081074,0.0082777,0.0081926
4,15400,1e-05,0.069128,0.0073236,0.0083279,0.0078257
4,15500,1e-05,0.065842,0.0072745,0.0073884,0.0073315
4,15600,1e-05,0.065445,0.0072001,0.0071984,0.0071992
4,15700,1e-05,0.10188,0.012925,0.013312,0.013119
4,15800,1e-05,0.096995,0.010329,0.010617,0.010473
4,15900,1e-05,0.10785,0.014423,0.014617,0.01452
4,16000,1e-05,0.09466,0.010868,0.01091,0.010889
4,16100,1e-05,0.079403,0.010363,0.010632,0.010498
4,16200,1e-05,0.058068,0.0067101,0.0068069,0.0067585
4,16300,1e-05,0.060464,0.006589,0.0066251,0.0066071
4,16400,1e-05,0.078856,0.0095412,0.0097094,0.0096253
4,16500,1e-05,0.06863,0.0070947,0.0073388,0.0072168
0,100,0.0001,0.26061,0.050535,0.05051,0.050523
0,200,0.0001,0.22462,0.041696,0.041774,0.041735
0,300,0.0001,0.15996,0.028718,0.028747,0.028732
0,400,0.0001,0.14036,0.026021,0.026108,0.026064
0,500,0.0001,0.16985,0.030754,0.030841,0.030798
0,600,0.0001,0.14904,0.025841,0.025925,0.025883
0,700,0.0001,0.11808,0.019088,0.019295,0.019192
0,800,0.0001,0.17241,0.030386,0.030403,0.030395
0,900,0.0001,0.17419,0.029761,0.030099,0.02993
0,1000,0.0001,0.16492,0.029536,0.029861,0.029699
0,1100,0.0001,0.15543,0.026398,0.026577,0.026488
